name,cases,deaths,recovered,tests
Bermuda,122,9,66,"4,691"
Cambodia,122,0,122,"14,684"
Mozambique,119,0,42,"5,361"
Guyana,116,10,43,"1,065"
Trinidad and Tobago,116,8,107,"2,597"
Yemen,106,15,1,120
Aruba,101,3,93,"1,937"
Bahamas,96,11,41,"1,700"
Monaco,96,4,87,0
Cayman Islands,94,1,55,"5,900"
Barbados,85,7,65,"3,651"
Liechtenstein,82,1,55,900
Sint Maarten,76,15,46,329
Libya,64,3,28,"3,253"
Malawi,63,3,24,"1,363"
French Polynesia,60,0,59,"3,216"
Syria,50,3,36,0
Angola,48,2,17,"6,136"
Macao,45,0,43,0
Zimbabwe,42,4,13,"25,478"
Saint Martin,39,3,30,0
Eritrea,39,0,39,0
Mauritania,29,3,7,"2,015"
Nicaragua,25,8,7,0
Antigua and Barbuda,25,3,19,183
Botswana,24,1,17,"11,495"
Timor-Leste,24,0,24,738
Gambia,23,1,12,"1,341"
Grenada,22,0,14,"2,419"
Bhutan,21,0,5,"13,660"
Laos,19,0,14,"4,424"
Belize,18,2,16,"1,043"
Fiji,18,0,15,"1,300"
New Caledonia,18,0,18,"5,454"
Saint Lucia,18,0,18,727
St. Vincent Grenadines,17,0,14,155
Curaçao,16,1,14,389
Dominica,16,0,15,420
Namibia,16,0,13,"2,074"
Burundi,15,1,7,284
Saint Kitts and Nevis,15,0,14,327
Falkland Islands,13,0,13,402
Turks and Caicos,12,1,10,109
Vatican City,12,0,2,0
Comoros,11,1,3,0
Montserrat,11,1,10,36
Greenland,11,0,11,"1,629"
Seychelles,11,0,10,0
Suriname,10,1,9,404
British Virgin Islands,8,1,6,167
Papua New Guinea,8,0,8,"2,402"
Caribbean Netherlands,6,0,6,357
St. Barth,6,0,6,0
Western Sahara,6,0,6,0
Anguilla,3,0,3,0
Lesotho,1,0,0,0
Saint Pierre Miquelon,1,0,1,0
